Reaction	Flux
EdhbC	0.00017834472656249998
EdhbB	0.0
EdhbA	0.0
EdhbEBF	2.8296712964365034e-05
EbesA	2.8296712964365034e-05
EsidX	8.48901388930951e-05
EefeM	8.48901388930951e-05
EpgcA	0.27893342861694337
EgtaB	0.27893342861694337
EglmS	0.1340201171875
EnagA	0.0
EmurQ	0.0
EnagB	0.0
EglmM	0.1340201171875
EgcaD1	0.1340201171875
EgcaD2	0.1340201171875
EmurA	0.0605302001953125
EmurB	0.0605302001953125
EmurC	0.0605302001953125
EmurD	0.0605302001953125
EmurE	0.0605302001953125
EmurF	0.0605302001953125
EmraY	0.0605302001953125
EmurG	0.0605302001953125
ErodA	0.0605302001953125
EgpsA1	0.0
EgpsA2	0.35712410478637696
EtagD	0.3563922119140625
EmnaA	0.0064798583984375
EtagO	0.0064798583984375
EtagA	0.0064798583984375
EtagB	0.0064798583984375
EtagF	0.0064798583984375
EtagE	0.0064798583984375
Edlt	0.0064798583984375
EtagGH	0.0064798583984375
Eacc	0.0069914985991107416
Es14	2.850132360502429e-05
Es16	0.00012515798626554147
Es18	4.5849955364604295e-05
Ee14	1.3631067811098573e-05
Ee16	5.8241835192875736e-05
Eo15	0.00024040246866846574
Eo17	9.541747467769003e-05
Ea15	0.00040645365836730293
Ea17	0.00022553221287454004
Ebcfa	0.0012391879828271431
EacpA	1.6237767983393134e-05
EacpS	1.6237767983393134e-05
EplsX	0.000611475107421875
EplsY	0.000611475107421875
EplsC	0.000611475107421875
EcdsA	0.0004557962121582032
EpssA	0.0003326188598632813
Epsd	0.0003326188598632813
EpgsA	0.00012317735229492186
EpX	0.00012317735229492186
EclsA	2.7595874023437497e-06
Elpg	1.3112498779296874e-05
Edg0	0.00015567889526367187
EdagK	0.0
EugtP1	0.00015567889526367187
EugtP2	0.00010470202758789063
EugtP3	3.913656127929688e-05
Eatpm	0.0
R_maintenance_atp	9.0
