Enzyme	Concentration
EcysS_enzyme	4.633872315031898e-07
Egln_enzyme	4.542803363401377e-05
EglnS_enzyme	1.1671791684020873e-05
Eglt_enzyme	1.1365434793510527e-05
EgltX_enzyme	1.53795815038999e-05
EracE_enzyme	8.207587904065569e-07
EglyA_enzyme	5.462864537985648e-05
EglyQS_enzyme	5.692685356941105e-06
EhisG_enzyme	6.712004362258731e-07
EhisI_enzyme	1.2088575882640812e-06
EhisA_enzyme	9.64425417465823e-07
EhisHF_enzyme	8.004565327461218e-07
EhisB_enzyme	1.3723451387403862e-06
EhisC_enzyme	3.7028431373962357e-06
EhisJ_enzyme	1.3723451387403862e-06
EhisD1_enzyme	6.639511728097208e-07
EhisD2_enzyme	6.639511728097208e-07
EhisS_enzyme	3.4921630967066713e-06
EilvA_enzyme	0.0
EilvBH1_enzyme	3.1234534818518233e-06
EilvC1_enzyme	7.70667666488898e-05
EilvD1_enzyme	1.1255073536441674e-05
EilvE1_enzyme	2.8598321061037863e-07
EileS_enzyme	1.8610206995133944e-05
EilvBH2_enzyme	4.419857302530099e-06
EilvC2_enzyme	0.00010728762228649637
EilvD2_enzyme	1.5668622653502064e-05
EleuA_enzyme	1.1230518315592776e-05
EleuCD_enzyme	7.182131623875112e-06
EleuB_enzyme	4.7714961359181793e-05
EilvE3_enzyme	5.817437843512874e-07
EleuS_enzyme	1.9632353001073428e-05
Ebkd1_enzyme	9.790216245334719e-07
Ebkd2_enzyme	3.59758189412591e-09
Ebkd3_enzyme	1.6809391263933128e-08
EdapG_enzyme	2.7329495320279942e-06
Easd_enzyme	4.332897638425187e-05
Ehom_enzyme	1.406418769233561e-05
EdapA_enzyme	5.492584750835743e-06
EdapB_enzyme	3.137486650288765e-06
EdapH_enzyme	3.300610551352444e-05
EpatA_enzyme	2.125034202214031e-06
EdapL_enzyme	2.809558880018708e-06
EdapF_enzyme	1.1992684750179444e-06
ElysA_enzyme	6.775678000454216e-06
ElysS_enzyme	2.0258844497555773e-05
EmetA_enzyme	2.005958733796245e-06
EmetI_enzyme	6.946122176238261e-06
EmetC_enzyme	4.079885121850658e-06
EmetE_enzyme	6.995287982736472e-05
EmetK_enzyme	8.585152601851157e-06
EmetS_enzyme	8.7784399211739e-06
Efmt_enzyme	4.296458165299744e-06
Edef_enzyme	1.988875913196092e-07
EspeD_enzyme	8.133145876432724e-06
EspeE_enzyme	8.133145876432724e-06
EmtnN2_enzyme	8.133145876432724e-06
EmtnK_enzyme	8.133145876432724e-06
EmtnA_enzyme	8.133145876432724e-06
EmtnB_enzyme	8.133145876432724e-06
EmtnW_enzyme	8.133145876432724e-06
EmtnX_enzyme	8.133145876432724e-06
EmtnD_enzyme	8.133145876432724e-06
EmtnE_enzyme	8.133145876432724e-06
EspeA_enzyme	6.430692787077173e-06
EspeB_enzyme	4.8390312788604e-06
EaroA_enzyme	0.00012671653460347856
EaroB_enzyme	1.0359931050137014e-05
EaroC_enzyme	1.154865917145585e-06
EaroD_enzyme	1.5795297253633733e-06
EaroK_enzyme	1.1378433625371895e-06
EaroE_enzyme	2.1581872187172544e-05
EaroF_enzyme	2.5567366868405034e-05
EaroH_enzyme	5.5143298283077754e-06
EpheA_enzyme	2.985852180778878e-06
EhisC2_enzyme	9.261597864827093e-06
EpheS_enzyme	1.1003395931156248e-05
EproB_enzyme	5.331712974721873e-07
EproA_enzyme	3.767838688608421e-06
EproI_enzyme	1.2714609996334842e-07
EproS_enzyme	5.709687183562449e-06
EserA_enzyme	1.730585843426902e-05
EserC_enzyme	3.8467901556678195e-06
EserB_enzyme	1.4278286243521464e-05
EserS_enzyme	5.9428178538342524e-06
EthrB_enzyme	2.2693937238818448e-06
EthrC_enzyme	4.278709675801541e-05
EthrS_enzyme	6.401757260769153e-06
EtrpEG_enzyme	5.155267481031477e-07
EtrpD_enzyme	1.0572164285904677e-07
EtrpF_enzyme	6.786779307517044e-07
EtrpC_enzyme	8.732400997560666e-08
EtrpA_enzyme	9.131135044451977e-08
EtrpB_enzyme	2.809140664154593e-07
EtrpS_enzyme	6.076750938686464e-07
EtyrA_enzyme	9.6766811240751e-07
EhisC3_enzyme	1.3820816095748644e-05
EtyrS_enzyme	1.1163656362378056e-05
EilvE2_enzyme	2.856983447227575e-07
EvalS_enzyme	7.777233464416423e-06
Eald_enzyme	0.0
EargI_enzyme	0.0
ErocD_enzyme	0.0
ErocA_enzyme	0.0
Eure_enzyme	2.959631972054505e-06
EansA_enzyme	0.0
EansB_enzyme	0.0
EglsA_enzyme	0.0
ErocG_enzyme	0.0
EgcvT_enzyme	2.948944525949239e-05
EhutH_enzyme	0.0
EhutU_enzyme	0.0
EhutI_enzyme	0.0
EhutG_enzyme	0.0
EputB_enzyme	0.0
EputC_enzyme	0.0
Esda_enzyme	0.0
Etdh_enzyme	0.0
Ekbl_enzyme	0.0
Eapt_enzyme	8.502091970389035e-06
EhprT1_enzyme	0.0
EhprT2_enzyme	0.0
Expt_enzyme	0.0
EadeC_enzyme	0.0
EguaD_enzyme	0.0
EyfkN1_enzyme	0.0
EyfkN2_enzyme	0.0
EyfkN3_enzyme	0.0
EyfkN4_enzyme	0.0
EyfkN5_enzyme	0.0
Epuc_enzyme	0.0
Epuc2_enzyme	0.0
Edgk_enzyme	0.0
Edck1_enzyme	0.0
EdeoD1_enzyme	0.0
EdeoD2_enzyme	0.0
EpupG1_enzyme	0.0
EpupG2_enzyme	0.0
EpupG3_enzyme	0.0
EpupG4_enzyme	0.0
Edrm1_enzyme	0.0
Edrm2_enzyme	0.0
Edra_enzyme	0.0
Eupp_enzyme	0.0
Edck2_enzyme	0.0
Eudk1_enzyme	0.0
Eudk2_enzyme	0.0
Etdk1_enzyme	0.0
Etdk2_enzyme	0.0
Epdp1_enzyme	0.0
Epdp2_enzyme	0.0
Epdp3_enzyme	0.0
Epdp4_enzyme	0.0
Ecdd1_enzyme	0.0
Ecdd2_enzyme	0.0
EyfkN6_enzyme	0.0
EyfkN7_enzyme	0.0
EyfkN8_enzyme	0.0
EyfkN9_enzyme	0.0
EpucLM_enzyme	0.0
EpucH_enzyme	0.0
EpucF_enzyme	0.0
Espo_enzyme	0
EpucG_enzyme	0.0
EaldX_enzyme	0.0
EyoaN_enzyme	0.0
EmtrA_enzyme	1.190267323527713e-08
EphoA_enzyme	1.190267323527713e-08
EfolB_enzyme	1.190267323527713e-08
EfolK_enzyme	0.0
EpabAB_enzyme	1.190267323527713e-08
EpabC_enzyme	1.190267323527713e-08
Esul1_enzyme	1.190267323527713e-08
Esul2_enzyme	0.0
EfolC_enzyme	1.190267323527713e-08
EfdhD_enzyme	0.0
EdfrA_enzyme	1.0678793439839127e-07
EdfrA2_enzyme	0.0
EfolD1_enzyme	0.0
EykkE_enzyme	0.0
