Enzyme	Concentration
R_AACPS9_enzyme	0.0
R_AACTOOR_enzyme	0
R_AADDGT_enzyme	0.0
R_AAMYL_enzyme	0.0
R_AAMYLpp_enzyme	0.0
R_AB6PGH_enzyme	0.0
R_ABTA_enzyme	0.0
R_ABTA_duplicate_2_enzyme	0.0
R_ABUTD_enzyme	0.0
R_ABUTt2pp_enzyme	0.0
R_ABUTtex_enzyme	0.0
R_ABUTtex_duplicate_2_enzyme	0.0
R_ABUTtex_duplicate_3_enzyme	0.0
R_ABUTtex_duplicate_4_enzyme	0.0
R_ACACCT_enzyme	0.0
R_ACACT1r_enzyme	0.0
R_ACACT1r_duplicate_2_enzyme	0.0
R_ACACT1r_duplicate_3_enzyme	7.578603332033676e-07
R_ACACT2r_enzyme	0.0
R_ACACT2r_duplicate_2_enzyme	7.578603332033676e-07
R_ACACT3r_enzyme	0.0
R_ACACT3r_duplicate_2_enzyme	7.578603332033676e-07
R_ACACT4r_enzyme	0.0
R_ACACT4r_duplicate_2_enzyme	7.578603332033676e-07
R_ACACT5r_enzyme	0.0
R_ACACT5r_duplicate_2_enzyme	7.578603332033676e-07
R_ACACT6r_enzyme	0.0
R_ACACT6r_duplicate_2_enzyme	7.578603332018901e-07
R_ACACT7r_enzyme	0.0
R_ACACT7r_duplicate_2_enzyme	7.578603332018901e-07
R_ACACT8r_enzyme	0.0
R_ACACT8r_duplicate_2_enzyme	0.0
R_ACACt2pp_enzyme	0.0
R_ACACtex_enzyme	0.0
R_ACACtex_duplicate_2_enzyme	0.0
R_ACACtex_duplicate_3_enzyme	0.0
R_ACACtex_duplicate_4_enzyme	0.0
R_ACALD_enzyme	0.0
R_ACALD_duplicate_2_enzyme	0.0
R_ACALDtex_enzyme	0.0
R_ACALDtex_duplicate_2_enzyme	0.0
R_ACALDtex_duplicate_3_enzyme	0.0
R_ACALDtex_duplicate_4_enzyme	0.0
R_ACALDtpp_enzyme	0.0
R_ACANTHAT_enzyme	0.0
R_ACBIPGT_enzyme	0.0
R_ACCOAC_enzyme	4.691646938578164e-06
R_ACCOAL_enzyme	5.129645015469167e-07
R_ACGAL1PPpp_enzyme	0
R_ACGAL1Ptex_enzyme	0.0
R_ACGAL1Ptex_duplicate_2_enzyme	0.0
R_ACGAL1Ptex_duplicate_3_enzyme	0.0
R_ACGAL1Ptex_duplicate_4_enzyme	0.0
R_ACGALtex_enzyme	0.0
R_ACGALtex_duplicate_2_enzyme	0.0
R_ACGALtex_duplicate_3_enzyme	0.0
R_ACGALtex_duplicate_4_enzyme	0.0
R_ACGAM1PPpp_enzyme	0
R_ACGAM1Ptex_enzyme	0.0
R_ACGAM1Ptex_duplicate_2_enzyme	0.0
R_ACGAM1Ptex_duplicate_3_enzyme	0.0
R_ACGAM1Ptex_duplicate_4_enzyme	0.0
R_ACGAMK_enzyme	0.0
R_ACGAMT_enzyme	0.0
R_ACGAptspp_enzyme	0.0
R_ACGAptspp_duplicate_2_enzyme	0.0
R_ACGAtex_enzyme	0.0
R_ACGAtex_duplicate_2_enzyme	0.0
R_ACGAtex_duplicate_3_enzyme	0.0
R_ACGAtex_duplicate_4_enzyme	0.0
R_ACGK_enzyme	4.972447227210612e-06
R_ACGS_enzyme	8.636232862146357e-08
R_ACHBS_enzyme	2.4381682683358014e-06
R_ACHBS_duplicate_2_enzyme	0.0
R_ACKr_enzyme	0.0
R_ACKr_duplicate_2_enzyme	0.0
