Enzyme	Concentration
R_3OAS120_duplicate_2_enzyme	0.0
R_3OAS121_enzyme	0.0
R_3OAS140_enzyme	3.105972222222223e-07
R_3OAS140_duplicate_2_enzyme	0.0
R_3OAS141_enzyme	0.0
R_3OAS160_enzyme	0.0
R_3OAS160_duplicate_2_enzyme	0.0
R_3OAS161_enzyme	0.0
R_3OAS180_enzyme	0.0
R_3OAS180_duplicate_2_enzyme	0.0
R_3OAS181_enzyme	0.0
R_3OAS60_enzyme	0.0
R_3OAS60_duplicate_2_enzyme	0.0
R_3OAS80_enzyme	0.0
R_3OAS80_duplicate_2_enzyme	0.0
R_3OXCOAT_enzyme	0.0
R_3PEPTabcpp_enzyme	0.0
R_3PEPTtex_enzyme	0.0
R_3PEPTtex_duplicate_2_enzyme	0.0
R_3PEPTtex_duplicate_3_enzyme	0.0
R_3PEPTtex_duplicate_4_enzyme	0.0
R_3UMPtex_enzyme	0.0
R_3UMPtex_duplicate_2_enzyme	0.0
R_3UMPtex_duplicate_3_enzyme	0.0
R_3UMPtex_duplicate_4_enzyme	0.0
R_42A12BOOXpp_enzyme	0.0
R_4HOXPACDtex_enzyme	0.0
R_4HOXPACDtex_duplicate_2_enzyme	0.0
R_4HOXPACDtex_duplicate_3_enzyme	0.0
R_4HOXPACDtex_duplicate_4_enzyme	0.0
R_4HTHRS_enzyme	0.0
R_4PCP_enzyme	0.0
R_4PCPpp_enzyme	0
R_4PEPTabcpp_enzyme	0.0
R_4PEPTtex_enzyme	0.0
R_4PEPTtex_duplicate_2_enzyme	0.0
R_4PEPTtex_duplicate_3_enzyme	0.0
R_4PEPTtex_duplicate_4_enzyme	0.0
R_5DGLCNR_enzyme	0.0
R_5DGLCNt2rpp_enzyme	0.0
R_5DGLCNtex_enzyme	0.0
R_5DGLCNtex_duplicate_2_enzyme	0.0
R_5DGLCNtex_duplicate_3_enzyme	0.0
R_5DGLCNtex_duplicate_4_enzyme	0.0
R_5DOAN_enzyme	2.2666479527175652e-10
R_5MTRtex_enzyme	0.0
R_5MTRtex_duplicate_2_enzyme	0.0
R_5MTRtex_duplicate_3_enzyme	0.0
R_5MTRtex_duplicate_4_enzyme	3.4921434190538198e-09
R_5MTRtpp_enzyme	0
R_A5PISO_enzyme	0.0
R_A5PISO_duplicate_2_enzyme	1.5529861111111115e-07
R_AACPS1_enzyme	0.0
R_AACPS2_enzyme	0.0
R_AACPS3_enzyme	5.093660346137153e-07
R_AACPS4_enzyme	6.003613145616319e-07
R_AACPS5_enzyme	0.0
R_AACPS6_enzyme	0.0
