Metabolite	Concentration	Type	Unit	Comment
M_cys__D	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_feoxam_un	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_colipap	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hdcea	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acgal1p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_isetac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thrp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mal__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fecrm_un	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_23cgmp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ttrcyc	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_LalaLglu	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dmso	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cyan	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_2ddglcn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_amp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pyr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe3hox	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_csn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_etha	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_23dappa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_idon__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mincyc	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_novbcn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lyx__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_23ccmp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_14glucan	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_anhgm	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dms	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyald	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_peamn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_udpgal	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tmao	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_h2o2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lipa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_nac	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_orot	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tsul	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pydxn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_imp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dha	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_no2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_frulys	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_5dglcn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_galctn__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyc2p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glcn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gua	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lipa_cold	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_uacgam	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_feenter	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_xan	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_kdo2lipid4	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_psclys	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glcr	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_enlipa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_enter	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_rmn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_halipa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dcmp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3hpppn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_o16a4colipa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ocdcea	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_progly	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gal_bD	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_so2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_26dap__M	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_gdp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_tcynt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_galur	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_adocbl	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_feoxam	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hxan	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ethso3	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_taur	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_glyc__R	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_3amp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_hg2	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_LalaDgluMdap	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pser__L	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acald	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_spmd	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acolipa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ptrc	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ppa	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_ddca	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_doxrbcn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_LalaDgluMdapDala	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cmp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_cpgn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_chtbs	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_mso3	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_dgmp	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_thm	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_lcts	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_maltpt	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_g1p	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_acser	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_inost	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_pacald	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_fe3hox_un	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_orn	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
M_akg	0.0	Chemical species	mmol/L	Boundary metabolite from SBML
